Date & Time,Temperature,Date
01-03-1979 07:00 AM,29,01-03-1979
01-03-1979 08:00 AM,28,01-03-1979
01-03-1979 09:00 AM,32,01-03-1979
02-01-1979 06:00 AM,34,02-01-1979
02-01-1979 07:00 AM,33,02-01-1979
02-01-1979 08:00 AM,33,02-01-1979
02-02-1979 04:00 AM,34,02-02-1979
02-10-1979 06:00 AM,34,02-10-1979
02-10-1979 07:00 AM,34,02-10-1979
01-03-1980 07:00 AM,33,01-03-1980
02-01-1980 11:00 PM,34,02-01-1980
02-02-1980 01:00 AM,34,02-02-1980
02-02-1980 02:00 AM,34,02-02-1980
02-02-1980 03:00 AM,34,02-02-1980
02-02-1980 04:00 AM,34,02-02-1980
02-02-1980 05:00 AM,33,02-02-1980
02-02-1980 06:00 AM,33,02-02-1980
02-02-1980 07:00 AM,32,02-02-1980
02-02-1980 08:00 AM,34,02-02-1980
02-04-1980 07:00 AM,34,02-04-1980
03-02-1980 08:00 PM,34,03-02-1980
03-02-1980 09:00 PM,33,03-02-1980
03-02-1980 10:00 PM,31,03-02-1980
03-02-1980 11:00 PM,30,03-02-1980
03-03-1980 12:00 AM,30,03-03-1980
03-03-1980 01:00 AM,28,03-03-1980
03-03-1980 02:00 AM,27,03-03-1980
03-03-1980 03:00 AM,26,03-03-1980
03-03-1980 04:00 AM,26,03-03-1980
03-03-1980 05:00 AM,26,03-03-1980
03-03-1980 06:00 AM,25,03-03-1980
03-03-1980 07:00 AM,25,03-03-1980
03-03-1980 08:00 AM,27,03-03-1980
03-03-1980 09:00 AM,31,03-03-1980
03-03-1980 10:00 AM,34,03-03-1980
03-04-1980 12:00 AM,33,03-04-1980
03-04-1980 01:00 AM,34,03-04-1980
03-04-1980 02:00 AM,34,03-04-1980
03-04-1980 06:00 AM,34,03-04-1980
01-04-1981 06:00 AM,34,01-04-1981
01-04-1981 07:00 AM,33,01-04-1981
01-04-1981 08:00 AM,33,01-04-1981
01-12-1981 05:00 AM,34,01-12-1981
01-12-1981 06:00 AM,32,01-12-1981
01-12-1981 07:00 AM,31,01-12-1981
01-12-1981 08:00 AM,30,01-12-1981
01-12-1981 09:00 AM,32,01-12-1981
01-12-1981 07:00 PM,33,01-12-1981
01-12-1981 08:00 PM,30,01-12-1981
01-12-1981 09:00 PM,28,01-12-1981
01-12-1981 10:00 PM,28,01-12-1981
01-12-1981 11:00 PM,26,01-12-1981
01-13-1981 12:00 AM,26,01-13-1981
01-13-1981 01:00 AM,25,01-13-1981
01-13-1981 02:00 AM,24,01-13-1981
01-13-1981 03:00 AM,26,01-13-1981
01-13-1981 04:00 AM,26,01-13-1981
01-13-1981 05:00 AM,26,01-13-1981
01-13-1981 06:00 AM,27,01-13-1981
01-13-1981 07:00 AM,24,01-13-1981
01-13-1981 08:00 AM,25,01-13-1981
01-13-1981 09:00 AM,34,01-13-1981
01-13-1981 09:00 PM,32,01-13-1981
01-13-1981 10:00 PM,34,01-13-1981
01-13-1981 11:00 PM,32,01-13-1981
01-14-1981 12:00 AM,32,01-14-1981
